Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
28015,"Pl. de los Mostenses, 3, 28015 Madrid, Spain",broadsign.com:355322680,Madrid,98611.515,TuMedio,['retail.parking_garages'],40.4232366,-3.7088463,ES
28015,"Pl. de los Mostenses, 3, 28015 Madrid, Spain",hq1QV:467942751,Madrid,276887.1429,TuMedio Spain,['retail.parking_garages'],40.4232366,-3.7088463,ES
28945,"C/ de Murcia, 1, Local 2, 28945 Fuenlabrada, Madrid, Spain",ES-FUE-DD-00050.D1.01,Fuenlabrada,646922,JCDecaux - ES,['outdoor.urban_panels'],40.2899613,-3.7916404,ES
28001,"Calle del General Díaz Porlier, 0, 28001 Madrid, Spain",28079.08182.01.03,Madrid,60718,JCDecaux - ES,['outdoor.urban_panels'],40.4241057,-3.6772626,ES
28001,"C. de Velázquez, 32, 28001 Madrid, Spain",28079.08187.01.03,Madrid,116935,JCDecaux - ES,['outdoor.urban_panels'],40.424976,-3.683949,ES
28004,"Estación de Tribunal, 28004 Madrid, Spain",28079.08261.01.03,Madrid,124689,JCDecaux - ES,['outdoor.urban_panels'],40.4263033,-3.7008668,ES
28224,"Av. de Europa, 23, 28224 Pozuelo de Alarcón, Madrid, Spain",28115.00233.02.01,Pozuelo de Alarcón,50323,JCDecaux - ES,['outdoor.urban_panels'],40.4431575,-3.7850248,ES
28046,"Nuevos Ministerios - Centro Comercial, 28046 Madrid, Spain",28079.04318.03.03,Madrid,1668277,JCDecaux - ES,['outdoor.urban_panels'],40.4467666,-3.6909353,ES
28046,"Nuevos Ministerios - Centro Comercial, 28046 Madrid, Spain",28079.04318.03.04,Madrid,394723,JCDecaux - ES,['outdoor.urban_panels'],40.4467666,-3.6909353,ES
28016,"C. del Príncipe de Vergara, 267, 28016 Madrid, Spain",28079.05258.01.03,Madrid,130914,JCDecaux - ES,['outdoor.urban_panels'],40.4573904,-3.676995,ES
4001,"C. Rbla. Obispo Orberá, 1, 04001 Almería, Spain",04013.00767.01.01,Almería,60856,JCDecaux - ES,['outdoor.urban_panels'],36.841458,-2.4633891,ES
46013,"Av. del Professor López Piñero, 7, 46013 València, Valencia, Spain",ES-VAL-DD-00334.D1.01,València,171736,JCDecaux - ES,['outdoor.urban_panels'],39.4540426,-0.3523203,ES
46008,"Gran Vía Fernando el Católico, 29, 46008 Valencia, Spain",ES-VAL-DD-00052.D1.01,Valencia,344084,JCDecaux - ES,['outdoor.urban_panels'],39.4714576,-0.386281,ES
45600,"Av. Castilla la Mancha, 1, 45600 Talavera de la Reina, Toledo, Spain",hq1QV:726820615,Talavera de la Reina,330081.4286,TuMedio Spain,['retail.parking_garages'],39.9603209,-4.8238667,ES
8037,"Carrrer de, Carrer de Pau Claris, 172, principal, 2º, 08037 Barcelona, Spain",hq1QV:571150788,Barcelona,51381.42857,TuMedio Spain,['retail.parking_garages'],41.3955933,2.1638662,ES
