Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:e318389d-7e76-478d-83eb-ff764dca8856,Madrid,2050353.0,Clear Channel Spain,['retail.malls'],40.479.434,-37.078.328,ES
28029,"Av. de Monforte de Lemos, 36, Local 4, 28029 Madrid, Spain",broadsign.com:200843035,Madrid,72279.0,Clear Channel Spain,['retail.malls'],404.794.085,-3.708.205.599.999.990,ES
28029,"Av. de Monforte de Lemos, 36, Local 4, 28029 Madrid, Spain",com.broadsign:a34852c5-67d7-47fe-aa7f-8e6cd4acaf90,Madrid,722574.0,Clear Channel Spain,['retail.malls'],404.794.085,-3.708.205.599.999.990,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:633507709,Madrid,29619.0,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:47f53979-5647-4c0a-b817-b55258f3eb01,Madrid,296109.0,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"569 - Avenida Monforte de Lemos, 17, 28029 Madrid, Spain",broadsign.com:162597585,Madrid,191223.0,Clear Channel Spain,['outdoor.urban_panels'],404.795,-36.965,ES
28029,"569 - Avenida Monforte de Lemos, 17, 28029 Madrid, Spain",com.broadsign:7eb8672f-79f1-476b-a7ef-46bf3fb4e7e1,Madrid,1911730.5,Clear Channel Spain,['outdoor.urban_panels'],404.795,-36.965,ES
28029,"Av. de Monforte de Lemos, 34, 28029 Madrid, Spain",broadsign.com:202098807,Madrid,72274.5,Clear Channel Spain,['retail.malls'],404.795.654,-37.081.506,ES
28029,"Av. de Monforte de Lemos, 34, 28029 Madrid, Spain",com.broadsign:d11d68cb-4006-49a5-a5d0-7faff04bb7a2,Madrid,722551.5,Clear Channel Spain,['retail.malls'],404.795.654,-37.081.506,ES
28029,"Av. de Monforte de Lemos, 34, 28029 Madrid, Spain",broadsign.com:200992333,Madrid,72274.5,Clear Channel Spain,['retail.malls'],404.795.654,-37.081.506,ES
28029,"Av. de Monforte de Lemos, 34, 28029 Madrid, Spain",com.broadsign:6cb0bd3f-6e59-4711-bc93-db16c43abeef,Madrid,722524.5,Clear Channel Spain,['retail.malls'],404.795.654,-37.081.506,ES
28029,"Av. de Monforte de Lemos, 32, 28029 Madrid, Spain",com.broadsign:51755bca-9058-4f56-abb2-8698ae9ae121,Madrid,722520.0,Clear Channel Spain,['retail.malls'],404.794.649,-37.051.482,ES
28029,"Av. de Monforte de Lemos, 32, 28029 Madrid, Spain",broadsign.com:200365259,Madrid,72270.0,Clear Channel Spain,['retail.malls'],404.794.649,-37.051.482,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:200446547,Madrid,135931.5,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:161d052a-ddb6-4205-ab7f-fa94c6024026,Madrid,1358914.5,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"Av. de Monforte de Lemos, 34, 28029 Madrid, Spain",broadsign.com:202944282,Madrid,120622.5,Clear Channel Spain,['retail.malls'],404.795.654,-37.081.506,ES
28029,"Av. de Monforte de Lemos, 34, 28029 Madrid, Spain",com.broadsign:704ec32e-7c7a-4131-87ae-958dd08dab2b,Madrid,1205869.5,Clear Channel Spain,['retail.malls'],404.795.654,-37.081.506,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:592587797,Madrid,29574.0,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:301b42f7-fcdc-47c1-9929-a1871a7970d2,Madrid,295672.5,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:201365776,Madrid,72225.0,Clear Channel Spain,['retail.malls'],4.047.963.190.000.000,-37.080.316,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:4bae5ac6-0573-4c94-9600-0047aa384506,Madrid,722056.5,Clear Channel Spain,['retail.malls'],4.047.963.190.000.000,-37.080.316,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:203880974,Madrid,29592.0,Clear Channel Spain,['retail.malls'],4.047.963.190.000.000,-37.080.316,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:8796e1b3-05e9-42be-85f4-fe2055d2a7cf,Madrid,295830.0,Clear Channel Spain,['retail.malls'],4.047.963.190.000.000,-37.080.316,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:192449306,Madrid,257809.5,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:532e1025-5f5a-4bdb-9d95-ea64678873ea,Madrid,2577388.5,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:459007586,Madrid,29628.0,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:93efe9f9-2e2e-4338-a6d8-a4eccc258493,Madrid,296181.0,Clear Channel Spain,['retail.malls'],4.047.950.429.999.990,-37.078.791,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:200843004,Madrid,72283.5,Clear Channel Spain,['retail.malls'],404.796.717,-37.053.571,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:eee8071d-fc03-4caf-b068-1f0c728242c7,Madrid,722646.0,Clear Channel Spain,['retail.malls'],404.796.717,-37.053.571,ES
28029,"Av. de Monforte de Lemos, 36 Loc.B, 121, 28029 Madrid, Spain",broadsign.com:199627172,Madrid,29610.0,Clear Channel Spain,['retail.malls'],404.796.783,-3.706.729,ES
28029,"Av. de Monforte de Lemos, 36 Loc.B, 121, 28029 Madrid, Spain",com.broadsign:a5852d4b-37da-47da-a562-5f952861819f,Madrid,296010.0,Clear Channel Spain,['retail.malls'],404.796.783,-3.706.729,ES
28029,"Av. de Monforte de Lemos, 34, 28029 Madrid, Spain",broadsign.com:200024084,Madrid,213966.0,Clear Channel Spain,['retail.malls'],4.047.959.609.999.990,-37.083.374,ES
28029,"Av. de Monforte de Lemos, 34, 28029 Madrid, Spain",com.broadsign:dff178d4-ae39-4eb9-8925-ef4687c51395,Madrid,2139079.5,Clear Channel Spain,['retail.malls'],4.047.959.609.999.990,-37.083.374,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:396771830,Madrid,29574.0,Clear Channel Spain,['retail.malls'],404.796.977,-37.085.868,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:e5dedad2-cf18-4abc-a0af-25e650b487fd,Madrid,295654.5,Clear Channel Spain,['retail.malls'],404.796.977,-37.085.868,ES
28029,"Av. de Monforte de Lemos, 3, 28029 Madrid, Spain",broadsign.com:266398211,Madrid,72211.5,Clear Channel Spain,['retail.malls'],404.796.864,-37.069.006,ES
28029,"Av. de Monforte de Lemos, 3, 28029 Madrid, Spain",com.broadsign:7fb7a33f-0ff4-4b69-86b3-87cdaa3180fd,Madrid,721899.0,Clear Channel Spain,['retail.malls'],404.796.864,-37.069.006,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:201708261,Madrid,120600.0,Clear Channel Spain,['retail.malls'],404.796.462,-37.066.047,ES
