Zipcode,Frame id,Full address,Name,City,Monthly impressions,Publisher,Type,Subtype,Venue types,SSP,Media,Screen,Latitude,Longitude,Administrative level 1,Administrative level 2,Country,Frame resolution,Min duration,Max duration
31008,ES-PAM-DD-08008.D1.01,"Av. de Barañáin, 17, 31008 Pamplona, Navarra, Spain",Frame Alone,Pamplona,56252.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,428.115.987,-16.628.107,NC,NA,ES,1080x1920,,10.0
29660,com.broadsign:358e267a-d80d-4095-9374-4dd6a7d4e6f6,"Av. de Julio Iglesias, 93, 29660 Marbella, Málaga, Spain",MRB 02_601 29 069 059677 B_101369,Marbella,136755.0,Clear Channel Spain,broadsign player,,['outdoor.urban_panels'],Broadsign,digital,1,364.892.615,-49.509.573,AN,MA,ES,1080x1920,10.0,10.0
29660,broadsign.com:296584639,"Av. de Julio Iglesias, 93, 29660 Marbella, Málaga, Spain",MRB 02_601 29 069 059677 B_101369,Marbella,13680.0,Clear Channel Spain,broadsign player,,['outdoor.urban_panels'],Broadsign,digital,1,364.892.615,-49.509.573,AN,MA,ES,1080x1920,10.0,10.0
29601,broadsign.com:296584653,"Av. Ricardo Soriano, 2. 1, B, 29601 Marbella, Málaga, Spain",MRB 05_601 29 069 059683 B_102284,Marbella,184009.5,Clear Channel Spain,broadsign player,,['outdoor.urban_panels'],Broadsign,digital,1,365.094.861,-4.886.670.800.000.000,AN,MA,ES,1080x1920,10.0,10.0
29601,com.broadsign:d05ba320-2e47-488e-a806-61ce6ab1fe89,"Av. Ricardo Soriano, 2. 1, B, 29601 Marbella, Málaga, Spain",MRB 05_601 29 069 059683 B_102284,Marbella,1839604.5,Clear Channel Spain,broadsign player,,['outdoor.urban_panels'],Broadsign,digital,1,365.094.861,-4.886.670.800.000.000,AN,MA,ES,1080x1920,10.0,10.0
28003,hq1QV:566600848,"C. de Ponzano, 85, 28003 Madrid, Spain",Alenza Ponzano 01,Madrid,14.393.142.857.142.800,TuMedio Spain,Vistarmedia player,,['retail.parking_garages'],VistarMedia,digital,1,4.044.455,-3.698.944,MD,M,ES,1080x1920,,
28003,hq1QV:566604639,"C. de Ponzano, 85, 28003 Madrid, Spain",Alenza Ponzano 02,Madrid,1.656.342.857.142.850,TuMedio Spain,Vistarmedia player,,['retail.parking_garages'],VistarMedia,digital,1,4.044.455,-3.698.944,MD,M,ES,1080x1920,,
29002,broadsign.com:716238119,"C. Decano Félix Navarrete, 29002 Málaga, Spain",MLG 002_601 29 067 061042 B_104433,Málaga,98680.5,Clear Channel Spain,broadsign player,,['outdoor.urban_panels'],Broadsign,digital,1,367.167.305,-44.302.899,AN,MA,ES,1080x1920,10.0,10.0
29002,com.broadsign:99aee15a-c50d-4b19-b7f9-126ee10bda29,"C. Decano Félix Navarrete, 29002 Málaga, Spain",MLG 002_601 29 067 061042 B_104433,Málaga,986535.0,Clear Channel Spain,broadsign player,,['outdoor.urban_panels'],Broadsign,digital,1,367.167.305,-44.302.899,AN,MA,ES,1080x1920,10.0,10.0
29002,broadsign.com:821961711,"Avda. de Andalucía - Rotonda, 29002 Málaga, Spain",MLG 035_601 29 067 060971 B_105793,Málaga,49576.5,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.716.763,-4.430.534,AN,MA,ES,1080x1920,10.0,10.0
